years;H_R2_VPA;H_R2_h;H_R2_l;H_R2;H_R3;H_R4;H_R5;H_R6;H_R7;H_R8;H_R9;H_R10;H_R11;H_R12;prop_nH;SSB_H;SSB_H_h;SSB_H_h;prop_H2;prop_H3;prop_H4;prop_H5;prop_H6;prop_H7;prop_H8;prop_H9;wg_H0;wg_H1;wg_H2;wg_H3;wg_H4;wg_H5;wg_H6;wg_H7;wg_H8;wg_H9;wg_H10;wg_H11;wg_H12;wg_H13;wg_H14;wg_H15;C_R3;C_R4;C_R5;C_R6;C_R7;C_R8;C_R9;C_R10;C_R11;C_R12;C_R13;C_R14;C_R15;C_RT;Ca_R1;Ca_R2;Ca_R3;Ca_R4;Ca_R5;Ca_RT;SSB_Ca;SSB_CaM;Puff;SPG;M_R0;M_R1;M_R2;M_R3;M_R4;M_R5;M_R6;M_R7;M_R8;M_R9;M_R10;M_R11;M_R12;M_RT;B_R1;B_R2;B_R3;B_R4;B_R5;B_R6;B_R7;B_R8;B_R9;B_R10;B_RT;C_cH;Mw_cH;Hs_cH;H_0;H_0l;H_0h;T_S;Cal_fin;H_0B;Age_strB;Age_str;C_cH2
2001;;24671;33066;28868;13404;2183;2713;406;829;1750;4567;2226;406;268;19.20787681;3986;3535;4437;0;0;0.3;0.9;0.9;1;1;1;0.001;0.018;0.025;0.075;0.178;0.238;0.247;0.296;0.307;0.314;0.328;0.351;0.376;0.406;0.414;0.425;549501;525685;293274;183895;50817;8808;3487;1908;692;229;28;13;18;1618355;114;219;31;1;0;364;3630;2019;852154;-0.53;5132275;1656113;2598715;1718343;1181814;1248500;571109;568121;407934;233962;116459;69488;117007;15619840;55497740;31482540;12072473;10747410;7479057;1704442;491788;227543;161849;180036;120044878;72;22.7;;10008;2021;17996;4.83;16436.0;9.0;0.650928248871049;68.1;56157.2539738246
2002;;9310;13536;11423;11708;11367;1740;1994;303;615;1260;3165;1471;447;20.15772264;3528;3109;3946;0;0;0.1;0.9;1;1;1;1;0.001;0.010;0.023;0.057;0.177;0.241;0.275;0.302;0.311;0.314;0.328;0.341;0.372;0.405;0.415;0.438;408103;418213;374612;187904;81836;20045;3138;1200;617;270;95;13;12;1496058;60;91;50;1;0;201;2210;1290;859223;-0.19;8708579;5540645;1156202;2288967;1376087;872918;792513;353005;323896;215643;121321;59571;101807;21911154;48380225;45012302;20420467;8317975;5471791;3413372;695587;256524;102664;154653;132225560;87;25.2;;151514;58954;244073;5.11;23915.0;NaN;0.683219954648526;67.9;72314.4384418598
2003;;5193;7972;6582;4626;9891;9175;1282;1395;220;431;853;2093;1282;47.70033904;4172;3707;4637;0;0;0.2;0.7;1;1;1;1;0.001;0.010;0.055;0.098;0.159;0.211;0.272;0.305;0.292;0.331;0.337;0.347;0.356;0.381;0.414;0.433;691817;302962;295966;245586;86851;32452;6978;1177;447;302;113;55;9;1664715;82;10;11;1;0;104;533;280;922870;0.01;2992952;7640107;4778023;863689;1507762;828969;513453;384012;207701;170164;104783;58960;74253;20124828;52143422;38633073;34816368;13565168;5063018;2969554;1214175;348189;90256;107123;148950346;216;8.1;;177676;52699;302653;5.09;15777.0;471.0;1.82440076701822;67.3;216797.244374631
2004;;50230;65046;57638;2669;3919;8171;7204;945;1018;160;303;574;2214;43.23454716;5270;4706;5834;0;0;0.3;0.9;1;1;1;1;0.001;0.010;0.055;0.106;0.149;0.212;0.241;0.279;0.302;0.337;0.354;0.355;0.360;0.371;0.400;0.429;245941;562237;212672;191228;122846;36638;12761;2846;498;250;173;68;35;1388193;51;25;6;1;0;82;628;294;837704;0.32;3936957;2374435;6322183;3630261;725866;939853;441021;253679;173905;103054;77607;43288;52784;19074893;27840934;41597583;29708160;20801295;7277885;2454603;1318032;508010;152905;81304;131740711;211;0.1;;773891;544964;1002819;5.65;9992.0;2243.0;1.71851992409867;68.7;190068.709226614
2005;;20221;28038;24130;23391;2268;3264;6599;5552;703;737;116;212;1736;14.66628917;5401;4810;5993;0;0;0.2;0.8;1;1;1;1;0.001;0.010;0.046;0.112;0.156;0.234;0.267;0.295;0.330;0.363;0.377;0.414;0.406;0.308;0.420;0.452;630342;188025;400448;134075;98399;41856;11824;4285;916;210;123;116;57;1510676;27;13;2;0;0;42;324;174;800000;0.69;6300180;3434107;2163769;4805540;2007947;533921;494521;230731;124998;84052;54332;31887;40653;20306638;21854787;20958087;28217872;17943922;10759639;3244168;1107069;515249;193741;99173;104893707;130;;0;125927;20407;231447;5.51;26477.0;406.0;0.508331790409184;67.8;76828.8046748471
2006;;36496;49210;42853;9787;19783;1868;2605;5043;3937;479;497;76;1131;29.12950726;5365;4783;5947;0;0;0.2;0.8;1;1;1;1;0.001;0.010;0.042;0.107;0.179;0.232;0.272;0.297;0.318;0.371;0.365;0.393;0.395;0.399;0.415;0.428;538769;458445;136323;234470;70457;36390;13604;3811;1452;413;96;80;120;1494430;60;22;6;0;0;88;787;437;810102;0.94;11464574;6745432;3206972;1796105;3141256;1174809;374910;283550;134023;70411;49742;30210;38505;28510499;8915416;15214984;21736797;19133061;9422615;4457765;1359644;483782;218294;120636;81062994;169;;;294649;102788;486511;5.93;30508.0;1321.0;1.04350419384902;67.8;93325.0474159128
2007;;9462;14280;11871;17381;8322;16368;1501;2035;3700;2710;330;343;711;45.17417436;6901;6176;7627;0;0;0.2;0.8;1;1;1;1;0.001;0.010;0.036;0.086;0.155;0.226;0.265;0.312;0.310;0.364;0.384;0.352;0.386;0.304;0.420;0.412;1410572;448418;295018;87069;124216;31375;13125;4445;1320;593;168;50;98;2416467;222;55;4;0;0;280;1882;844;842005;0.89;5374061;8364901;5761560;2674246;1524897;2021532;756155;252284;171286;87865;42040;30128;37494;27098449;4873765;5916804;12980388;15742899;10276454;4686246;1836896;611595;228534;162864;57316445;291;;;144002;25099;262905;5.76;19639.0;275.0;1.70778148094479;67.8;76324.526619207
2008;;13971;20591;17281;4808;14743;6853;12594;1137;1488;2523;1795;221;723;24.16428039;6987;6215;7759;0;0;0.1;0.7;0.9;1;1;1;0.001;0.010;0.044;0.077;0.146;0.212;0.269;0.289;0.327;0.351;0.358;0.372;0.411;0.353;0.389;0.393;1238767;1050091;364252;165855;53174;65802;16027;6148;1917;680;258;99;81;2963151;313;231;25;2;0;571;4427;2468;723647;0.62;5604311;5023296;6799560;4974795;2160727;1211576;1134335;432420;161852;91768;51283;20710;30676;27697309;5730029;3456510;4319952;10977175;9140533;4906009;1864245;762892;237690;198625;41593660;115;;;201046;68778;333313;5.23;15840.0;106.0;0.881665951051953;66.3;68106.089758513
2009;;5061;8146;6603;6972;4067;12142;5303;8812;803;1022;1608;1129;631;24.9201371;6956;6128;7784;0;0;0.1;0.4;0.9;1;1;1;0.001;0.010;0.044;0.077;0.141;0.215;0.270;0.306;0.336;0.346;0.364;0.369;0.411;0.353;0.389;0.393;706486;918586;842432;265106;95453;36032;34671;9079;3402;1068;357;155;115;2912942;124;166;61;0;0;352;3756;2323;564353;0.26;5200071;4767259;4475215;5957253;4082726;1694921;857849;656180;249913;100362;47692;27323;22847;28139611;5577076;3930396;2416993;3700656;6945693;4727082;2206941;858654;327481;190213;30881185;138;;;104233;31009;177458;;16337.0;289.0;0.861285221391604;64.8;29295.2117430837
2010;;2955;5151;4053;2648;5832;3333;9387;3780;5726;536;633;953;1084;24.60874555;6149;5338;6960;0;0;0.2;0.4;0.7;1;1;1;0.001;0.01;0.044;0.077;0.188;0.22;0.251;0.286;0.308;0.333;0.344;0.354;0.373;0.353;0.389;0.393;287140;533017;733052;632175;184455;60105;21835;18580;5449;1933;504;220;178;2478643;248;128;61;1;0;438;3500;2051;643396;0.38;6683926;5132389;4861233;4072078;4939563;2990105;1261783;546902;348960;153527;65513;24875;30202;31111056;14802057;4904170;2336334;1860322;3357171;4327255;2843716;1206054;417629;268918;36323626;61;;;117087;32045;202129;;90156.0;254.0;0.871751504309644;64;39606.7185754178
2011;;12222;19361;15792;1625;2203;4781;2647;7071;2634;3568;335;387;1098;27.71014017;5774;4938;6610;0;0;0.4;0.7;0.8;0.9;1;1;0.001;0.01;0.044;0.118;0.185;0.209;0.246;0.277;0.310;0.322;0.339;0.349;0.364;0.363;0.389;0.393;473404;219028;445057;600065;444145;99312;35847;12241;9690;2583;1069;258;258;2342957;209;181;55;8;0;454;3707;2115;567959;1.05;7483547;6100878;4241194;4872581;3665559;3640896;2099677;858589;366556;193504;85207;40456;34270;33682914;18517015;12923098;3271120;1650914;1613891;2585190;2684504;1362763;816029;394679;45819203;94;1.5;;83051;48024;118078;5.2;31655.0;151.0;0.994925528229996;66.2;75366.2679652817
2012;;3283;6033;4658;6341;1354;1801;3838;2062;5318;1791;2367;217;935;17.8358213;5544;4684;6404;0;0;0.5;0.9;0.9;1;1;1;0.001;0.01;0.044;0.138;0.185;0.256;0.273;0.290;0.305;0.330;0.342;0.361;0.390;0.377;0.389;0.393;553893;328015;172178;352141;460371;266607;54340;19766;6641;4959;1476;707;360;2221454;146;156;88;2;0;392;3586;1997;373847;0.96;4793523;6435719;5854904;3228525;3604041;2898278;2599148;1388862;552617;232924;115615;48998;41879;31795033;18200627;14807332;12169939;2276802;1178572;1603821;2319215;2089712;1076181;899308;56621509;55;;;177189;35046;2111493;6.03;43578.0;1156.0;0.593308080808081;68.9;39674.9869359791
2013;;5529;10178;7854;1883;5307;1113;1443;3030;1575;3909;1261;1649;804;17.40568921;5158;4320;5997;0;0;0.4;0.8;1;1;1;1;0.001;0.01;0.044;0.138;0.204;0.267;0.305;0.309;0.320;0.328;0.346;0.350;0.390;0.377;0.389;0.393;613740;380281;242190;144882;266356;312436;160604;29553;11074;3714;2958;975;829;2169592;324;216;59;7;0;610;3956;1471;558415;1.32;3220460;3666510;5875273;5167586;2320908;2438039;2061105;1516822;755650;321638;126056;70568;50179;27590794;15173469;15156414;11246027;7226372;2191295;1069671;1355113;1601432;1329327;1363701;57712821;56;;;289391;67718;511064;5.13;7970.0;1363.0;0.563008918185343;68.6;46486.7094944416
2014;;3038;6539;4789;3181;1585;4346;890;1136;2353;1176;2860;908;1915;16.61628271;4924;4091;5757;0;0;0.4;0.8;1;1;1;1;0.001;0.01;0.044;0.138;0.198;0.274;0.301;0.326;0.333;0.339;0.347;0.344;0.362;0.362;0.389;0.393;718586;414591;294623;189406;112377;187794;180730;82741;15207;5822;2164;1968;1322;2207331;105;107;39;2;0;253;1949;873;502665;0.66;8120609;2653561;2836051;5056793;3809943;1820046;1749681;1486047;1005593;472405;204054;69010;53444;29337237;34951221;12049711;13315826;7775563;4282644;1315215;905664;962744;984953;1461751;78005292;74;;;136305;42164;230447;;59372.0;169.0;0.517952883834281;68.6;67959.0685425182
2015;;10382;21253;15817;1943;2705;1319;3525;716;907;1846;899;2156;2255;16.02775393;4615;3811;5419;0;0;0.4;0.8;1;1;1;1;0.001;0.01;0.044;0.138;0.187;0.243;0.299;0.326;0.319;0.345;0.346;0.354;0.382;0.376;0.389;0.393;399021;476456;311162;205878;137231;75207;113293;96155;39134;8211;3362;1425;2371;1868906;40;40;13;1;0;94;842;375;419115;0.25;2588980;5729227;2139734;2190824;3546703;2697023;1337925;1268619;1017669;684094;330069;105121;68892;23704880;57777072;30998427;10369579;8225393;4084705;1678424;708618;491099;454668;1011553;115799538;127;;;82749;0;160973;5.89;61199.0;98.0;0.501538461538461;68.6;89147.9225098369
2016;;4504;13129;8816;6422;1658;2272;1086;2870;580;722;1451;694;3525;13.34347593;4336;3577;5095;0;0;0.4;0.8;1;1;1;1;0.001;0.01;0.054;0.115;0.186;0.247;0.293;0.320;0.334;0.353;0.354;0.352;0.361;0.370;0.380;0.388;245294;258817;358690;213638;133400;83785;46398;61925;46742;17838;4801;2213;2715;1476256;32;8;3;0;0;43;328;181;421839;0.24;784490;1945108;4183158;1581349;1786534;2338797;1814684;909373;819252;557457;358043;174934;86911;17340090;29276819;51763155;20193887;7359970;4105291;1695049;657303;320562;199265;543064;116114365;91;;;79439;38415;120464;5.79;47200.0;661.0;0.412638376383764;68.6;15399.0447660587
2017;;2158;12112;7135;3579;5475;1385;1853;866;2281;453;553;1095;3263;22.79754062;4235;3485;4985;0;0;0.4;0.8;1;1;1;1;0.001;0.01;0.054;0.115;0.190;0.247;0.282;0.322;0.338;0.351;0.359;0.361;0.361;0.368;0.380;0.386;688190;190512;187642;241052;137593;77769;47269;25868;28462;22257;10037;3200;3444;1663295;86;124;17;0;0;227;2506;1723;424877;;12549868;832500;1544466;3327781;1275182;1337856;1584788;1282719;622176;560140;339104;214525;155190;25626295;9104584;23379038;41023710;14373309;4332574;1911764;656796;240411;135352;321343;95478881;183;;;153763;34713;272813;;39265.0;;0.735442739079103;68.6;177453.939377472
2018;;0;57788;24928;2891;3025;4454;1082;1377;624;1655;310;368;3089;24.15990119;3826;3065;4587;0;0;0.4;0.8;1;1;1;1;0.001;0.01;0.054;0.115;0.149;0.225;0.260;0.289;0.312;0.343;0.359;0.361;0.369;0.368;0.377;0.386;;405639;130203;135076;140551;80112;38865;25304;11296;12574;12097;6527;4783;1003027;59;60;21;0;0;140;1597;1056;439460;;12549868;10779246;685512;1156774;2501606;831220;788762;965217;716721;389037;258445;221993;205492;32049893;11037772;6697833;18011646;26425229;8372176;2411845;738959;236217;102601;209397;74243675;;;;;;;;40097.0;;0.838473601672765;68.6;172774.398839896
